id,user_id,start_time,file_name,avg_power,avg_heart_rate,normalized_power,tss,intensity_factor,efficiency_factor,max_5sec_power,max_1min_power,max_3min_power,max_5min_power,max_10min_power,max_20min_power,max_30min_power,duration,distance,file_size,file_hash,critical_power
1,max,2025-05-27T12:56:41,19251467654_ACTIVITY.fit,198.16,142.71,263.48,144.04,0.794,1.846,,437.02,361.89,356.07,343.36,331.78,312.51,8233.0,68.69,412151,1ccff81c86c35981fd9b368396e0ef0a,349.9
2,max,2025-05-18T05:00:36,19158938299_ACTIVITY.fit,234.17,161.76,269.94,246.51,0.813,1.669,,404.67,371.66,364.02,352.53,323.45,298.39,13424.0,110.84,689261,9fd51d766d39d807c2d2a17ce2b2ff15,353.0
3,max,2025-05-17T09:55:12,19151247620_ACTIVITY.fit,118.85,105.88,162.35,29.57,0.489,1.533,,254.63,213.64,206.41,200.88,197.56,170.51,4451.0,27.01,215885,ae8ef9303490e3b27f430f9b5a56dbd2,205.9
4,max,2025-05-16T09:04:00,19140835383_ACTIVITY.fit,156.33,124.36,198.94,36.86,0.599,1.6,,382.33,278.9,259.55,228.65,203.84,197.38,3696.0,25.43,191027,2f9cee14b10552b22ddebf7a7bc72328,247.4
5,max,2025-05-14T13:02:57,19123362720_ACTIVITY.fit,156.88,123.74,211.83,68.57,0.638,1.712,,353.55,343.24,296.48,271.62,262.55,232.49,6064.0,43.3,307779,99ca38401d4833093ec0f4a22fe6c18f,300.8
6,max,2025-05-13T12:35:54,19112274700_ACTIVITY.fit,198.1,132.84,222.39,45.42,0.67,1.674,,321.03,315.03,285.23,277.73,250.19,238.66,3644.0,21.57,192216,f7ebcfab2a74d5f4319c31821f57cb38,283.5
7,max,2025-05-13T13:52:09,19112275338_ACTIVITY.fit,117.52,115.95,159.94,12.32,0.482,1.379,,254.9,210.72,174.35,137.69,127.73,118.65,1911.0,17.81,96316,a52060767d16a98c7f39e735787455b4,170.9
8,max,2025-04-08T16:03:45,18769618113_ACTIVITY.fit,166.77,116.49,197.45,37.3,0.595,1.695,,340.37,278.16,254.75,240.31,214.27,205.27,3796.0,25.68,192519,a45b0514cc3ffa68bc7fed94ec672c34,249.1
9,max,2025-02-24T09:30:50,18362550446_ACTIVITY.fit,153.59,112.19,174.15,57.42,0.525,1.552,,231.1,212.13,209.13,204.1,176.05,173.94,7513.0,48.0,377075,cfe442ad117c83530d9905adc852fe0f,199.1
10,max,2024-11-30T14:27:59,17715984386_ACTIVITY.fit,167.48,0.0,169.64,26.35,0.511,,,175.08,174.66,174.51,174.45,174.39,174.38,3633.0,32.66,132508,1dc1885e86bd7d48bbecc1b10091c56e,174.5
11,max,2024-11-18T13:23:47,17569694628_ACTIVITY.fit,246.85,0.0,285.82,74.26,0.861,,,350.58,349.73,349.18,286.2,271.07,268.0,3607.0,31.65,135046,f8a9c0d4557f1ea70d590ebaf71b3532,323.3
12,max,2024-11-16T17:04:16,17561200782_ACTIVITY.fit,220.32,0.0,234.97,38.47,0.708,,,270.17,269.62,269.49,247.11,247.02,246.98,2765.0,27.81,104616,87790f00d14cf2f54f201c13821695e0,262.0
13,max,2025-05-11T11:39:45,19092058443_ACTIVITY 2.fit,175.76,124.46,185.23,60.15,0.558,1.488,,247.32,224.31,216.0,208.17,194.89,190.21,6957.0,60.02,357232,ea773fa73bcc49487b2857bcb2b4d4f8,211.7
14,max,2025-05-10T12:57:45,19082502678_ACTIVITY.fit,165.58,119.3,197.46,67.64,0.595,1.655,,385.38,291.04,271.79,236.96,210.7,205.38,6884.0,47.92,348540,74c7b801845fe57abc8b6a96e9d162c7,257.8
15,max,2025-05-09T08:17:07,19070199504_ACTIVITY.fit,181.32,129.13,233.23,100.7,0.702,1.806,,358.57,340.15,338.36,334.11,300.9,261.41,7346.0,55.13,373338,42ca80feb791c2f6412602110db16f2e,326.5
16,max,2025-05-08T14:02:36,19063302512_ACTIVITY.fit,179.61,131.96,237.19,81.95,0.714,1.797,,410.3,369.66,350.64,299.16,271.25,256.03,5780.0,40.64,294513,a2021805a96e9bd035d2cde395a1a62f,330.5
17,max,2025-05-06T10:35:49,19041315361_ACTIVITY.fit,182.85,123.92,201.46,75.93,0.607,1.626,,285.88,252.93,245.42,242.37,232.44,226.64,7424.0,54.04,382100,5f06b019cca05c188622d86d5b18f10a,243.6
